id,title,context,question,answers
2,Bulbasaur,"Bulbasaur its a Grass first generation Pokemon that It uses the nutrients that are stored in the seed on its back in order to grow. The reception of Bulbasaur has been largely positive and it often appears in ""top Pokémon lists"". Its English name is a portmanteau of ""bulb"" and ""dinosaur"".",Whats the type of Bulbasaur?,"{'answer_start': [16], 'text': ['Grass']}"
3,Ivysaur,"Ivysaur its a Grass first generation Pokemon that When it's exposed to sunlight, the seed, now a bud, grows so much that it apparently loses the ability to stand on its hind legs. It grows by drawing in energy and when a wafting scent fills the area and it spends more time in the sun, it's ready to evolve. To support this weight, its legs grow thicker in size and strength. Ivysaur is a playable character in Super Smash Bros. Brawl and Super Smash Bros. Ultimate as a part of the ""Pokémon Trainer"" fighter. Its English name is a portmanteau of ""ivy"" and ""dinosaur"".",Whats the type of Ivysaur?,"{'answer_start': [14], 'text': ['Grass']}"
4,Venusaur,"Venusaur its a Grass first generation Pokemon that Its English name is a portmanteau of ""Venus"" (relating to the Venus flytrap) and ""dinosaur"". It is based on the Pareiasaur. It is the mascot of Pokémon Green and LeafGreen. It's always on the move to seek sunlight so it can absorb it for energy. When it does this, it tends to lay still. The aroma from the flower it now has on its back can sooth and calm people down. It's said that if a Venusaur gets enough sunlight, its flower will take on vivid coloration. As a result, it's way more powerful in the summer time. After a rainy day, its flower will smell stronger. The scent attracts other Pokemon.",Whats the type of Venusaur?,"{'answer_start': [15], 'text': ['Grass']}"
5,Charmander,"Charmander its a Fire first generation Pokemon that Charmander is a bipedal, salamander-like creature with a flame at the tip of its tail. Its English name is a portmanteau of ""char"" and ""salamander"". Preferring hot places, there is a flame at the tip of is tail. Even newborns have a flame, though, unfamiliar with fire, they sometimes accidentally burn themselves. When it rains, you can see smoke coming from it, and it makes a sound too, though you'll have to be in a quiet place to hear it. The flame determines its vitality and emotions, the brighter it is, the healthier it is. Similarly when its tail is wavering, it is happy and when blazing, it is angry. If its flame were to ever go out, it would die.",Whats the type of Charmander?,"{'answer_start': [17], 'text': ['Fire']}"
6,Charmeleon,"Charmeleon its a Fire first generation Pokemon that Charmeleon is similar to Charmander yet larger. Its English name is a portmanteau of ""char"" and ""chameleon"". It's a very feisty pokemon, and fights can excite it, causing bluish white flames to spew. It swings its tail around causing unbearable temperatures. It also uses its razor sharp claws to attack as well. It constantly seeks tough opponents and it calms down only when it wins. In rocky mountains where they live, the night sky looks like stars due to their fiery tails.",Whats the type of Charmeleon?,"{'answer_start': [17], 'text': ['Fire']}"
7,Charizard,"Charizard its a Fire first generation Pokemon that It is a playable character as a part of the ""Pokémon Trainer"" fighter in Super Smash Bros. Brawl and Super Smash Bros. Ultimate, as well as a standalone fighter in Super Smash Bros. for Nintendo 3DS and Wii U. It is also the mascot of Pokémon Red and FireRed. Its fire is hot enough to melt boulders, and it's been known to start forest fires accidentally. When breathing fire which reaches great temperatures, it inflicts terrible pain on its foes, and the flame at the end of its tail burns more fiercely, though it will never use its fiery breath on foes weaker than itself. It quickly melt glaciers weighing more than 10,000 tons. If it becomes furious, its flames become bluish-white, and its wings can let it soar up to 4,600 feet as it flies in search of stronger opponents. It's said that it fire burns hotter if it has experienced harsher battles. It gains the Dragon type upon Mega Evolving into Mega Charizard X. Its English name is a portmanteau of ""char"" and ""lizard"".",Whats the type of Charizard?,"{'answer_start': [16], 'text': ['Fire']}"
8,Squirtle,"Squirtle its a Water first generation Pokemon that It is a playable character in Super Smash Bros. Brawl and Super Smash Bros. Ultimate as a part of the ""Pokémon Trainer"" fighter. Its English name is a portmanteau of ""squirt"" and ""turtle"". It is one of the Kanto starter Pokémon. When born, its back swells into a shell which after some time will become resilient, and it takes time for the shell to harden. When it feels threatened, it tucks in its limbs and hides in its shell. Squirtle's shell is not merely used for protection as the shell's rounded shape and the grooves on its surface help minimize water resistance, enabling this Pokémon to swim at high speeds. It can spray a powerful foam from its mouth by retracting its long neck and vigorously shooting water out.",Whats the type of Squirtle?,"{'answer_start': [15], 'text': ['Water']}"
9,Wartortle,"Wartortle its a Water first generation Pokemon that Its English name is a portmanteau of ""wart"", ""tortoise"", and ""turtle"". Its tail is large and covered with a rich, thick fur. Its tail becomes increasingly deeper in color as Wartortle ages. Legends say it can live up to 1,000 years old. Wartortle was originally intended to have an entirely different final evolution that shared a closer design.",Whats the type of Wartortle?,"{'answer_start': [16], 'text': ['Water']}"
10,Blastoise,"Blastoise its a Water first generation Pokemon that Its English name is a portmanteau of ""blast"" and ""tortoise"". It is the mascot of Pokémon Blue. In early stages of Red and Green's development, Blastoise was originally separate from the Squirtle line and was called ""Caravaggio"". A Blastoise trading card, which was originally made as a test print before the commercial English cards, was sold for $360,000 in 2021. The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.",Whats the type of Blastoise?,"{'answer_start': [16], 'text': ['Water']}"
11,Caterpie,"Caterpie its a Bug first generation Pokemon that To avoid predators, it releases an odor that makes bird-type Pokémon hesitant to hunt it. Its appearance is based on the Eastern Tiger Swallowtail.",Whats the type of Caterpie?,"{'answer_start': [15], 'text': ['Bug']}"
